sifra,vrsta_dela,lokacija,neto_placilo,trajanje,delovnik,prosta_mesta
343243,DELO V DELAVNICI,ŠKOFJA VAS,5.92 €/h neto,PO DOGOVORU ,DOPOLDAN,

343298,STREŽBA,RAKA,6.50 €/h neto,DLJE ČASA (ZAČ. IN OBČ. DELO),IZMENSKO,6

343390,STREŽBA,KAMNIK,7.00 €/h neto,DLJE ČASA (ZAČ. IN OBČ. DELO),PO DOGOVORU,2

343565,PROGRAMIRANJE,LJUBLJANA,9.29 €/h neto,PO DOGOVORU,DOPOLDAN,

343690,PROGRAMIRANJE,TRZIN,8.45 €/h neto,DLJE ČASA (OBČASNO),DOPOLDAN,2

343696,STREŽBA,LJUBLJANA CENTER,7.00 €/h neto,PO DOGOVORU,PO DOGOVORU,3

343765,PROJEKTIRANJE,LJUBLJANA,6.00 €/h neto,DLJE ČASA (OBČASNO),DOPOLDAN,

343767,PROJEKTIRANJE,LJUBLJANA,6.00 €/h neto,DLJE ČASA (OBČASNO),DOPOLDAN,

343955,POMOČ PRI OSKRBI STANOVALCEV,RENČE,6.40 €/h neto,DLJE ČASA (ZAČ. IN OBČ. DELO),PO DOGOVORU,2

343966,NEGOVANJE,DOMŽALE,6.00 €/h neto,DLJE ČASA (OBČASNO),IZMENSKO,2

344222,POMOČ V KUHINJI,LJUBLJANA,7.50 €/h neto,DLJE ČASA (ZAČ. IN OBČ. DELO),PO DOGOVORU,2

344262,POMOČ V STREŽBI,KRVAVEC,7.61 €/h neto,DLJE ČASA (OBČASNO),PO DOGOVORU,2

344307,BLAGAJNIK,LJUBLJANA,6.76 €/h neto,DLJE ČASA (OBČASNO),PO DOGOVORU,

344432,STREŽBA,BISTRICA PRI TRŽIČU,6.50 €/h neto,DLJE ČASA (ZAČ. IN OBČ. DELO),PO DOGOVORU,3

344486,STREŽBA HRANE IN PIJAČE,TUHINJ,6.50 €/h neto,DLJE ČASA (ZAČ. IN OBČ. DELO),PO DOGOVORU,

344563,MIZARSKA DELA,LJUBLJANA,5.49 €/h neto,DLJE ČASA (ZAČ. IN OBČ. DELO),DOPOLDAN,2

344663,POUČEVANJE,LJUBLJANA - IN DRUGI KRAJI PO SLOVENIJI,9.75 €/h neto,PO DOGOVORU,PO DOGOVORU,10

344740,VADITELJ/ICA,LJUBLJANA,10.00 €/h neto,PO DOGOVORU,POPOLDAN,

344771,STREŽBA,GROSUPLJE,6.00 €/h neto,DLJE ČASA (ZAČ. IN OBČ. DELO),IZMENSKO,

344801,STREŽBA,LJUBLJANA,7.50 €/h neto,DLJE ČASA (ZAČ. IN OBČ. DELO),IZMENSKO,

344907,HOSTES/A,LJUBLJANA IN OKOLICA,7.00 €/h neto,PO DOGOVORU,MED VIKENDI,20

344908,HOSTES/A,"KOPER, PORTOROŽ IN OKOLICA",7.00 €/h neto,PO DOGOVORU,MED VIKENDI,20

