sifra,vrsta_dela,lokacija,neto_placilo,trajanje,delovnik,prosta_mesta

381087,VZDRŽEVANJE,KAMNIK,5.92 €/h neto,DLJE ČASA (ZAČ. IN OBČ. DELO),DOPOLDAN,

381089,VZDRŽEVANJE,CELJE,5.92 €/h neto,DLJE ČASA (ZAČ. IN OBČ. DELO),DOPOLDAN,

381090,VZDRŽEVANJE,LJUBLJANA,5.92 €/h neto,DLJE ČASA (ZAČ. IN OBČ. DELO),DOPOLDAN,

381097,POMOČ V STREŽBI,LJUBLJANA,6.00 €/h neto,PO DOGOVORU,PO DOGOVORU,2

381099,PRODAJA,PODČETRTEK,8.45 €/h neto,DLJE ČASA (ZAČ. IN OBČ. DELO),IZMENSKO,3

381103,DELO V ORDINACIJI,LJUBLJANA CENTER,6.34 €/h neto,DLJE ČASA (ZAČ. IN OBČ. DELO),IZMENSKO,2

381111,POMOČ PRI PRODAJI,LJUBLJANA RUDNIK,6.76 €/h neto,DLJE ČASA (ZAČ. IN OBČ. DELO),IZMENSKO,2

381120,HELPDESK,LJUBLJANA,6.08 €/h neto,DLJE ČASA (ZAČ. IN OBČ. DELO),DOPOLDAN,

381146,MONTAŽA,LJUBLJANA,7.50 €/h neto,PROJEKTNO DELO,DOPOLDAN,2

381149,POMOČ V STREŽBI,MARIBOR,5.49 €/h neto,DLJE ČASA (ZAČ. IN OBČ. DELO),IZMENSKO,2

381157,STREŽBA,LJUBLJANA,7.00 €/h neto,PO DOGOVORU,PO DOGOVORU,2

381158,PROJEKTIRANJE,LJUBLJANA BEŽIGRAD,7.00 €/h neto,DLJE ČASA (ZAČ. IN OBČ. DELO),DOPOLDAN,

381160,POMOČ V KUHINJI,IDRIJA,9.00 €/h neto,DLJE ČASA (ZAČ. IN OBČ. DELO),DOPOLDAN,

381165,VULKANIZERSKA DELA,LJUBLJANA,7.00 €/h neto,DLJE ČASA (ZAČ. IN OBČ. DELO),IZMENSKO,2

381167,DELO V SKLADIŠČU,SLOVENJ GRADEC,7.00 €/h neto,DO DOGOVORU ,DOPOLDAN,

381176,STREŽBA,TRNOVLJE PRI CELJU,8.00 €/h neto,DLJE ČASA (ZAČ. IN OBČ. DELO),IZMENSKO,

381178,KOZMETIČNE STORITVE,LJUBLJANA,6.68 €/h neto,DLJE ČASA (ZAČ. IN OBČ. DELO),PO DOGOVORU,

381179,KOZMETIČNE STORITVE,KOPER,6.68 €/h neto,DLJE ČASA (ZAČ. IN OBČ. DELO),PO DOGOVORU,

381180,TELEFONIST,LJUBLJANA,6.00 €/h neto,DLJE ČASA (ZAČ. IN OBČ. DELO),POPOLDAN,2

381183,RAZVOZ,KRANJ,6.00 €/h neto,PO DOGOVORU,PO DOGOVORU,2

381201,PROJEKTIRANJE,LJUBLJANA,6.50 €/h neto,DLJE ČASA (ZAČ. IN OBČ. DELO),DOPOLDAN,

381202,MONTAŽA,CELJE,7.00 €/h neto,DLJE ČASA (ZAČ. IN OBČ. DELO),DOPOLDAN,4

381203,DELO V KUHINJI,BREZOVICA,7.00 €/h neto,DLJE ČASA (ZAČ. IN OBČ. DELO),PO DOGOVORU,

381204,DELO V KUHINJI,LJUBLJANA CENTER,7.00 €/h neto,DLJE ČASA (ZAČ. IN OBČ. DELO),PO DOGOVORU,

381210,ADMINISTRATIVNA DELA,KOKRICA,5.50 €/h neto,DLJE ČASA (ZAČ. IN OBČ. DELO),DOPOLDAN,2

381220,POMOČ V STREŽBI,ŠKOFIJE,7.00 €/h neto,DLJE ČASA (ZAČ. IN OBČ. DELO),IZMENSKO,2

381225,PRODAJA,LJUBLJANA CENTER,7.50 €/h neto,DLJE ČASA (ZAČ. IN OBČ. DELO),IZMENSKO,

381227,DELO NA BENCINSKEM SERVISU,SEŽANA,6.00 €/h neto,DLJE ČASA (ZAČ. IN OBČ. DELO),IZMENSKO,

381229,BLAGAJNIK,CELJE,6.50 €/h neto,PO DOGOVORU,MED VIKENDI,

381236,LAŽJA FIZIČNA DELA,AJDOVŠČINA,6.00 €/h neto,DLJE ČASA (ZAČ. IN OBČ. DELO) - SAMO OB TORKIH,DOPOLDAN,

381237,PRODAJA,MURSKA SOBOTA,5.50 €/h neto,DLJE ČASA (ZAČ. IN OBČ. DELO),PO DOGOVORU,2

381239,DELO V KUHINJI,LENDAVA,7.61 €/h neto,DLJE ČASA (ZAČ. IN OBČ. DELO),PO DOGOVORU,

381240,DELO V KUHINJI,MURSKA SOBOTA,7.61 €/h neto,DLJE ČASA (ZAČ. IN OBČ. DELO),PO DOGOVORU,

381249,POMOČ PRI PRODAJI,LJUBLJANA CENTER,6.00 €/h neto,DLJE ČASA (ZAČ. IN OBČ. DELO),IZMENSKO,2

381256,DELO V SKLADIŠČU,LJUBLJANA,5.24 €/h neto,DLJE ČASA (ZAČ. IN OBČ. DELO),DOPOLDAN,

381257,PROJEKTIRANJE,MARIBOR,7.00 €/h neto,DLJE ČASA (ZAČ. IN OBČ. DELO),PO DOGOVORU,2

381263,DELO V SKLADIŠČU,PTUJ,5.62 €/h neto,DLJE ČASA (ZAČ. IN OBČ. DELO),DOPOLDAN,2

381264,DELO V ORDINACIJI,HRASTNIK,7.17 €/h neto,DLJE ČASA (ZAČ. IN OBČ. DELO),DOPOLDAN,

381268,ADMINISTRATIVNA DELA,ŠENČUR,5.70 €/h neto,DLJE ČASA (ZAČ. IN OBČ. DELO),DOPOLDAN,3

381269,STROKOVNO DELO,LJUBLJANA,5.49 €/h neto,DLJE ČASA (ZAČ. IN OBČ. DELO),DOPOLDAN,

381273,DELO V ORDINACIJI,LJUBLJANA BEŽIGRAD,7.00 €/h neto,DLJE ČASA (ZAČ. IN OBČ. DELO),IZMENSKO,2

381283,ETIKETIRANJE,LJUBLJANA - ČRNUČE,6.00 €/h neto,DLJE ČASA (ZAČ. IN OBČ. DELO),DOPOLDAN,6

381287,POSPEŠEVANJE PRODAJE,LJUBLJANA,8.00 €/h neto,DLJE ČASA (ZAČ. IN OBČ. DELO),DOPOLDAN,

381290,POSPEŠEVANJE PRODAJE,LJUBLJANA,8.00 €/h neto,DLJE ČASA (ZAČ. IN OBČ. DELO),DOPOLDAN,

381294,STREŽBA,IZOLA,8.00 €/h neto,PO DOGOVORU ,PO DOGOVORU,5

381303,FIZIČNA DELA,VELIKE LAŠČE,7.00 €/h neto,DLJE ČASA (ZAČ. IN OBČ. DELO),DOPOLDAN,

381305,STREŽBA,LJUBLJANA CENTER,6.76 €/h neto,DLJE ČASA (ZAČ. IN OBČ. DELO),IZMENSKO,5

381312,DELO V KUHINJI,DOMŽALE,7.61 €/h neto,DLJE ČASA (ZAČ. IN OBČ. DELO),PO DOGOVORU,

381314,DELO V KUHINJI,BRNIK,7.61 €/h neto,DLJE ČASA (ZAČ. IN OBČ. DELO),PO DOGOVORU,

381316,DELO S STRANKAMI,LJUBLJANA,6.00 €/h neto,DLJE ČASA (ZAČ. IN OBČ. DELO),PO DOGOVORU,2

381324,PROMOCIJA,PO SLOVENIJI,6.00 €/h neto,DLJE ČASA (ZAČ. IN OBČ. DELO),DOPOLDAN,3

381326,PROJEKTIRANJE,LJUBLJANA,8.00 €/h neto,PO DOGOVORU,PO DOGOVORU,

381327,ADMINISTRATIVNA DELA,"KOSTANJEVICA NA KRKI, RAKA",6.00 €/h neto,DLJE ČASA (ZAČ. IN OBČ. DELO),PO DOGOVORU,2

381329,PROJEKTIRANJE,LJUBLJANA,8.00 €/h neto,PO DOGOVORU,PO DOGOVORU,

381330,DELO NA BENCINSKEM SERVISU,LJUBLJANA,6.00 €/h neto,DLJE ČASA (ZAČ. IN OBČ. DELO),IZMENSKO,

381353,POMOČ V KUHINJI,LJUBLJANA CENTER,7.00 €/h neto,DLJE ČASA (ZAČ. IN OBČ. DELO),IZMENSKO,2

381355,DELO NA BENCINSKEM SERVISU,LJUBLJANA,5.31 €/h neto,DLJE ČASA (ZAČ. IN OBČ. DELO),IZMENSKO,3

381359,STREŽBA HRANE IN PIJAČE,ŠMARJESKE TOPLICE,7.00 €/h neto,PO DOGOVORU,PO DOGOVORU,2

381374,MARKETING,LJUBLJANA,6.50 €/h neto,DLJE ČASA (ZAČ. IN OBČ. DELO),DOPOLDAN,

381378,LAŽJA FIZIČNA DELA,LJUBLJANA IN OKOLICA,5.70 €/h neto,"DLJE ČASA (ZAČ. IN OBČ. DELO), PO DOGOVORU",IZMENSKO,2

381380,MONTAŽA,BREZOVICA,8.50 €/h neto,DO KONCA NOVEMBRA 2022,PO DOGOVORU,3

381382,DELO V DELAVNICI,PTUJ,6.00 €/h neto,ČEZ SEZONO MENJAVE GUM,PO DOGOVORU,3

381384,DELO V KUHINJI,LJUBLJANA BEŽIGRAD,5.50 €/h neto,DLJE ČASA (ZAČ. IN OBČ. DELO),POPOLDAN,2

381385,DELO V KUHINJI,LJUBLJANA BEŽIGRAD,7.00 €/h neto,DLJE ČASA (ZAČ. IN OBČ. DELO),POPOLDAN,2

381386,STREŽBA,MARIBOR,6.76 €/h neto,DLJE ČASA (ZAČ. IN OBČ. DELO),PO DOGOVORU,

381394,DIGITALNI MARKETING,KAMNIK,7.50 €/h neto,DLJE ČASA (ZAČ. IN OBČ. DELO),DOPOLDAN,

381397,POMOČ PRI PRODAJI,LJUBLJANA - BTC,5.92 €/h neto,DLJE ČASA (ZAČ. IN OBČ. DELO),POPOLDAN,2

381399,STREŽBA,ŠKOFLJICA,6.00 €/h neto,PO DOGOVORU,PO DOGOVORU,2

381403,STREŽBA,VRHPOLJE PRI ŠENTVIDU 1,6.45 €/h neto,PO DOGOVORU,IZMENSKO,2

381406,STREŽBA HRANE IN PIJAČE,PTUJ,7.00 €/h neto,DLJE ČASA (ZAČ. IN OBČ. DELO),PO DOGOVORU,4

381413,DELO V SKLADIŠČU,MARIBOR,6.76 €/h neto,DLJE ČASA (ZAČ. IN OBČ. DELO),POPOLDAN,2

381415,DELO V SKLADIŠČU,LJUBLJANA ČRNUČE,6.76 €/h neto,DLJE ČASA (ZAČ. IN OBČ. DELO),DOPOLDAN,

381418,DELO V SKLADIŠČU,ŽALEC,5.50 €/h neto,DLJE ČASA (ZAČ. IN OBČ. DELO),IZMENSKO,5

381422,STREŽBA,MARIBOR POBREŽJE,6.00 €/h neto,DLJE ČASA (ZAČ. IN OBČ. DELO),IZMENSKO,2

381423,POMOČ V STREŽBI,ZGORNJA LOŽNICA,7.00 €/h neto,PO DOGOVORU,IZMENSKO,3

381431,DELO V KUHINJI,LJUBLJANA,6.50 €/h neto,DLJE ČASA (ZAČ. IN OBČ. DELO),IZMENSKO,4

381432,POMOČ PRI PRODAJI,LJUBLJANA BTC,5.58 €/h neto,DLJE ČASA (ZAČ. IN OBČ. DELO),MED VIKENDI,6

381441,POMOČ V TRGOVINI,CELJE,6.76 €/h neto,DLJE ČASA (ZAČ. IN OBČ. DELO),IZMENSKO,2

381443,POMOČ V TRGOVINI,CELJE,6.76 €/h neto,DLJE ČASA (ZAČ. IN OBČ. DELO),IZMENSKO,2

381445,POMOČ V TRGOVINI,CELJE,6.76 €/h neto,DLJE ČASA (ZAČ. IN OBČ. DELO),IZMENSKO,2

381451,POMOČ V TRGOVINI,LAŠKO,6.76 €/h neto,DLJE ČASA (ZAČ. IN OBČ. DELO),IZMENSKO,2

381453,ČIŠČENJE,LOGATEC,6.00 €/h neto,DLJE ČASA (ZAČ. IN OBČ. DELO),POPOLDAN,

381457,DIGITALNI MARKETING,LJUBLJANA,6.00 €/h neto,DLJE ČASA (ZAČ. IN OBČ. DELO),PO DOGOVORU,

381458,POMOČ PRI PRODAJI,MARIBOR TABOR,6.00 €/h neto,PO DOGOVORU ,PO DOGOVORU,

381462,DIGITALNI MARKETING,KAMNIK,5.50 €/h neto,DLJE ČASA (ZAČ. IN OBČ. DELO),DOPOLDAN,2

381466,STREŽBA,IZOLA,8.00 €/h neto,DLJE ČASA (ZAČ. IN OBČ. DELO),PO DOGOVORU,2

381471,ČIŠČENJE,LJUBLJANA ŠIŠKA,6.00 €/h neto,DLJE ČASA (ZAČ. IN OBČ. DELO),PO DOGOVORU,

381481,FIGURANT,"GROSUPLJE, IVANČNA GORICA",7.00 €/h neto,DLJE ČASA (ZAČ. IN OBČ. DELO),DOPOLDAN,

381482,POMOČ V TRGOVINI,ŽALEC,6.76 €/h neto,DLJE ČASA (ZAČ. IN OBČ. DELO),IZMENSKO,2

381483,ANKETIRANJE PO TELEFONU,LJUBLJANA,6.00 €/h neto,DLJE ČASA (ZAČ. IN OBČ. DELO),DOPOLDAN,2

381486,ADMINISTRATIVNA DELA,LJUBLJANA,6.50 €/h neto,DLJE ČASA (ZAČ. IN OBČ. DELO),DOPOLDAN,

381512,BLAGAJNIK,KRANJ,5.32 €/h neto,DLJE ČASA (ZAČ. IN OBČ. DELO),POPOLDAN,3

381520,ELEKTROTEHNIČNA DELA,GORENJSKA,7.50 €/h neto,DLJE ČASA (ZAČ. IN OBČ. DELO),DOPOLDAN,

381521,POMOČ V STREŽBI,MENGEŠ,6.00 €/h neto,PO DOGOVORU,PO DOGOVORU,3

381522,DELO V PROIZVODNJI,PIJAVA GORICA,7.00 €/h neto,DLJE ČASA (ZAČ. IN OBČ. DELO),DOPOLDAN,

381534,ČIŠČENJE,RAČE,5.65 €/h neto,DLJE ČASA (ZAČ. IN OBČ. DELO),PO DOGOVORU,2

381538,STREŽBA,ŽELEZNIKI,6.00 €/h neto,DLJE ČASA (ZAČ. IN OBČ. DELO),PO DOGOVORU,2

381551,STREŽBA,IZOLA,7.00 €/h neto,DLJE ČASA (ZAČ. IN OBČ. DELO),PO DOGOVORU,2

381558,POMOČ PRI PRODAJI,LJUBLJANA,5.92 €/h neto,PO DOGOVORU,IZMENSKO,2

381572,POMOČ V TRGOVINI,SEŽANA,6.34 €/h neto,DLJE ČASA (ZAČ. IN OBČ. DELO),IZMENSKO,

381577,ZDRAVSTVENA NEGA,LJUBLJANA,7.00 €/h neto,DLJE ČASA (ZAČ. IN OBČ. DELO),DOPOLDAN,2

381578,DELO NA BENCINSKEM SERVISU,"ZAGORJE OB SAVI, IZLAKE",5.28 €/h neto,DLJE ČASA (ZAČ. IN OBČ. DELO),PO DOGOVORU,

381579,POMOČ PRI PRODAJI,LJUBLJANA ŠIŠKA,5.49 €/h neto,DLJE ČASA (ZAČ. IN OBČ. DELO),IZMENSKO,

381583,DELO V SKLADIŠČU,RADOMLJE,6.00 €/h neto,DLJE ČASA (ZAČ. IN OBČ. DELO),DOPOLDAN,

381589,STREŽBA,SERMIN,6.76 €/h neto,DLJE ČASA (ZAČ. IN OBČ. DELO),IZMENSKO,2

381590,POMOČ V TRGOVINI,LJUBLJANA RUDNIK,5.75 €/h neto,DLJE ČASA (ZAČ. IN OBČ. DELO),POPOLDAN,3

381599,DELO V KUHINJI,LJUBLJANA - VIČ,7.00 €/h neto,DLJE ČASA (ZAČ. IN OBČ. DELO),POPOLDAN,3

381601,DELO NA STOJNICI,MARIBOR,5.50 €/h neto,"SEZONA KOSTANJEV, CCA DO 15. 11. 2022",POPOLDAN,2

381602,BLAGAJNIK,LJUBLJANA ŠIŠKA,6.76 €/h neto,DLJE ČASA (ZAČ. IN OBČ. DELO),IZMENSKO,

381612,DELO NA BENCINSKEM SERVISU,LJUBLJANA,5.92 €/h neto,DLJE ČASA (ZAČ. IN OBČ. DELO),IZMENSKO,

381616,DELO V SKLADIŠČU,ZGORNJI BRNIK,7.18 €/h neto,PO DOGOVORU,PO DOGOVORU,2

381619,POMOČ UPORABNIKOM,LJUBLJANA ALI OD DOMA,7.00 €/h neto,DLJE ČASA (ZAČ. IN OBČ. DELO),PO DOGOVORU,10

381630,STREŽBA HRANE IN PIJAČE,PIRAN,7.00 €/h neto,DLJE ČASA (ZAČ. IN OBČ. DELO),PO DOGOVORU,2

381631,OBDELAVA PODATKOV,LJUBLJANA,6.34 €/h neto,DLJE ČASA (ZAČ. IN OBČ. DELO),DOPOLDAN,2

381637,MEDICINSKA SESTRA,RENČE,8.45 €/h neto,DLJE ČASA (ZAČ. IN OBČ. DELO),PO DOGOVORU,2

381647,ANIMATOR/KA,RIMSKE TOPLICE,6.50 €/h neto,DLJE ČASA (ZAČ. IN OBČ. DELO),PO DOGOVORU,

381648,PROJEKTIRANJE,LJUBLJANA - BEŽIGRAD,6.30 €/h neto,DLJE ČASA (ZAČ. IN OBČ. DELO),DOPOLDAN,

381652,PAKIRANJE,GORNJA RADGONA,6.00 €/h neto,DLJE ČASA (ZAČ. IN OBČ. DELO),DOPOLDAN,

381655,STREŽBA,ŠKOFLJICA - PIJAVA GORICA,9.00 €/h neto,PO DOGOVORU,PO DOGOVORU,3

381671,BLAGAJNIK,LJUBLJANA BTC,7.00 €/h neto,DLJE ČASA (ZAČ. IN OBČ. DELO),DOPOLDAN,2

381673,DELO V KUHINJI,LJUBLJANA BTC,7.00 €/h neto,DLJE ČASA (ZAČ. IN OBČ. DELO),DOPOLDAN,2

381676,ELEKTROTEHNIČNA DELA,LJUBLJANA - DELO OD DOMA,8.45 €/h neto,DLJE ČASA (ZAČ. IN OBČ. DELO),PO DOGOVORU,

381677,ELEKTROTEHNIČNA DELA,MARIBOR - DELO OD DOMA,8.45 €/h neto,DLJE ČASA (ZAČ. IN OBČ. DELO),PO DOGOVORU,

381678,POUČEVANJE,DOBROVA,8.45 €/h neto,DLJE ČASA (ZAČ. IN OBČ. DELO),PO DOGOVORU,

381681,RAZVOZ,DOMŽALE Z OKOLICO,6.00 €/h neto,DLJE ČASA (ZAČ. IN OBČ. DELO),IZMENSKO,2

381682,STREŽBA,LJUBLJANA CENTER,7.50 €/h neto,DLJE ČASA (ZAČ. IN OBČ. DELO),IZMENSKO,3

381683,STREŽBA,LJUBLJANA CENTER,7.50 €/h neto,DLJE ČASA (ZAČ. IN OBČ. DELO),IZMENSKO,3

381684,DELO V KUHINJI,LJUBLJANA CENTER,7.50 €/h neto,DLJE ČASA (ZAČ. IN OBČ. DELO),IZMENSKO,2

381686,DELO V SKLADIŠČU,DOMŽALE,6.76 €/h neto,DLJE ČASA (ZAČ. IN OBČ. DELO),PO DOGOVORU,

381690,DELO V PROIZVODNJI,DOMŽALE,8.00 €/h neto,DO 31. 12. 2022,PO DOGOVORU,2

381692,DELO V TURIZMU,KRANJSKA GORA,7.00 €/h neto,DLJE ČASA (ZAČ. IN OBČ. DELO),MED VIKENDI,

381693,DELO NA RECEPCIJI,KRANJSKA GORA,7.00 €/h neto,DLJE ČASA (ZAČ. IN OBČ. DELO),MED VIKENDI,

381694,RAZVOZ,DOMŽALE,7.00 €/h neto,DO 31. 12. 2022,DOPOLDAN,

381699,HOSTES/A,LJUBLJANA BEŽIGRAD,5.80 €/h neto,DLJE ČASA (ZAČ. IN OBČ. DELO),DOPOLDAN,2

381700,POMOČ PRI PRODAJI,LJUBLJANA BTC,6.50 €/h neto,DLJE ČASA (ZAČ. IN OBČ. DELO),IZMENSKO,

381705,DELO V PEKARNI,LJUBLJANA BTC,6.76 €/h neto,DLJE ČASA (ZAČ. IN OBČ. DELO),POPOLDAN,5

381708,KLICNI CENTER,LJUBLJANA BTC,6.25 €/h neto,DLJE ČASA (ZAČ. IN OBČ. DELO),DOPOLDAN,

381712,DELO V SKLADIŠČU,TRZIN,6.36 €/h neto,DLJE ČASA (ZAČ. IN OBČ. DELO),DOPOLDAN,

381714,STREŽBA HRANE IN PIJAČE,ŠKOFJA LOKA,7.00 €/h neto,PO DOGOVORU ,PO DOGOVORU,2

381722,ADMINISTRATIVNA DELA,LENDAVA,5.49 €/h neto,DLJE ČASA (ZAČ. IN OBČ. DELO),DOPOLDAN,

381723,TELEFONIST,LJUBLJANA ČRNUČE,7.50 €/h neto,DLJE ČASA (ZAČ. IN OBČ. DELO),DOPOLDAN,

381732,STREŽBA,JESENICE,5.50 €/h neto,DLJE ČASA (ZAČ. IN OBČ. DELO),IZMENSKO,

381734,ANIMATOR/KA,STRUNJAN,5.92 €/h neto,PO DOGOVORU,PO DOGOVORU,

381739,PRODAJA,LJUBLJANA,6.50 €/h neto,DLJE ČASA (ZAČ. IN OBČ. DELO),IZMENSKO,2

381750,ZDRAVSTVENA NEGA,SEŽANA,6.34 €/h neto,"DLJE ČASA (ZAČ. IN OBČ. DELO), PO DOGOVORU",IZMENSKO,3

381763,BLAGAJNIK,LJUBLJANA VIČ,6.00 €/h neto,DLJE ČASA (ZAČ. IN OBČ. DELO),IZMENSKO,

381773,POUČEVANJE,KRANJ,10.14 €/h neto,DLJE ČASA (ZAČ. IN OBČ. DELO),PO DOGOVORU,

381774,DELO NA TERENU,RADOMLJE- PO SLOVENIJI,5.66 €/h neto,DLJE ČASA (ZAČ. IN OBČ. DELO),DOPOLDAN,3

381783,STREŽBA HRANE IN PIJAČE,JIRŠOVCI 24,6.34 €/h neto,DLJE ČASA (ZAČ. IN OBČ. DELO),PO DOGOVORU,3

381784,POMOČ V KUHINJI,JIRŠOVCI 24,6.34 €/h neto,DLJE ČASA (ZAČ. IN OBČ. DELO),PO DOGOVORU,3

381785,DELO V SKLADIŠČU,RADEČE,6.00 €/h neto,DLJE ČASA (ZAČ. IN OBČ. DELO),DOPOLDAN,2

381792,POMOČ V TRGOVINI,SEŽANA,7.00 €/h neto,PO DOGOVORU,IZMENSKO,

381801,STREŽBA,MARIBOR,6.08 €/h neto,DLJE ČASA (ZAČ. IN OBČ. DELO),IZMENSKO,3

381810,DELO V AVTOPRALNICI,LJUBLJANA IN LETALIŠČE BRNIK,7.00 €/h neto,PO DOGOVORU,IZMENSKO,5

381811,DELO V VELNESU,LJUBLJANA BTC,6.50 €/h neto,DLJE ČASA (ZAČ. IN OBČ. DELO),PO DOGOVORU,

381815,RAZISKOVALNO DELO,KRANJ,6.76 €/h neto,DLJE ČASA (ZAČ. IN OBČ. DELO),DOPOLDAN,

381825,DELO V LABORATORIJU,GOLNIK,5.50 €/h neto,DLJE ČASA (ZAČ. IN OBČ. DELO),DOPOLDAN,

381834,DELO NA TERENU,"BOROVNICA, VRHNIKA, LOG-DRAGOMER",6.51 €/h neto,PO DOGOVORU,DOPOLDAN,2

381836,STROKOVNO DELO,LJUBLJANA,6.50 €/h neto,DLJE ČASA (ZAČ. IN OBČ. DELO),DOPOLDAN,

381860,RAZVOZ,"LJUBLJANA (CENTER, ŠIŠKA, BEŽIGRAD, ŠENTVID, KODELJEVO)",6.00 €/h neto,DLJE ČASA (ZAČ. IN OBČ. DELO),IZMENSKO,3

381861,DELO NA BENCINSKEM SERVISU,LORMANJE,6.00 €/h neto,DLJE ČASA (ZAČ. IN OBČ. DELO),IZMENSKO,2

381865,POMOČ V KUHINJI,LJUBLJANA VIČ,6.50 €/h neto,DLJE ČASA (ZAČ. IN OBČ. DELO),DOPOLDAN,

381869,STREŽBA,CELJE,5.50 €/h neto,DLJE ČASA (ZAČ. IN OBČ. DELO),PO DOGOVORU,

381878,DELO V PROIZVODNJI,LJUBLJANA,5.49 €/h neto,DLJE ČASA (ZAČ. IN OBČ. DELO),IZMENSKO,5

381879,DELO V PROIZVODNJI,LJUBLJANA,5.49 €/h neto,DLJE ČASA (ZAČ. IN OBČ. DELO),IZMENSKO,5

381883,DEKLARIRANJE,LJUBLJANA,5.92 €/h neto,DLJE ČASA (ZAČ. IN OBČ. DELO),PO DOGOVORU,2

381884,STREŽBA HRANE IN PIJAČE,MARIBOR-TEZNO,6.00 €/h neto,DLJE ČASA (ZAČ. IN OBČ. DELO),IZMENSKO,2

381891,STREŽBA,SEVNICA,6.00 €/h neto,PO DOGOVORU,PO DOGOVORU,2

381894,POMOČ V STREŽBI,MARIBOR,5.49 €/h neto,PO DOGOVORU,PO DOGOVORU,4

381897,STREŽBA HRANE IN PIJAČE,MARIBOR,6.34 €/h neto,PO DOGOVORU,PO DOGOVORU,2

381900,DELO V PROIZVODNJI,BOŠTANJ,5.50 €/h neto,DLJE ČASA (ZAČ. IN OBČ. DELO),DOPOLDAN,2

381901,DELO NA TERENU,"TOLMIN, BOVEC, NOVA GORICA",5.92 €/h neto,DLJE ČASA (ZAČ. IN OBČ. DELO),DOPOLDAN,2

381914,DELO V PROIZVODNJI,LENART,6.00 €/h neto,DLJE ČASA (ZAČ. IN OBČ. DELO),DOPOLDAN,

381915,BLAGAJNIK,DOMŽALE,5.75 €/h neto,DLJE ČASA (ZAČ. IN OBČ. DELO),PO DOGOVORU,2

381918,STREŽBA,DESTRNIK,6.00 €/h neto,DLJE ČASA (ZAČ. IN OBČ. DELO),PO DOGOVORU,

381934,DELO NA BENCINSKEM SERVISU,ŠENČUR,6.20 €/h neto,PO DOGOVORU,PO DOGOVORU,2

381937,ANIMATOR/KA,MENGEŠ,6.00 €/h neto,DLJE ČASA (ZAČ. IN OBČ. DELO),POPOLDAN,3

381945,DELO Z OTROKI,PREDDVOR,10.00 €/h neto,DLJE ČASA (ZAČ. IN OBČ. DELO),POPOLDAN,

381954,STROJNIŠKA DELA,LJUBLJANA,7.18 €/h neto,DLJE ČASA (ZAČ. IN OBČ. DELO),DOPOLDAN,

381962,POMOČ V TRGOVINI,LJUBLJANA,6.02 €/h neto,DLJE ČASA (ZAČ. IN OBČ. DELO),IZMENSKO,

381979,DELO NA BENCINSKEM SERVISU,"GOMILSKO, ŠENTRUPERT",5.28 €/h neto,DLJE ČASA (ZAČ. IN OBČ. DELO),MED VIKENDI,2

381982,VULKANIZERSKA DELA,MENGEŠ,7.61 €/h neto,PO DOGOVORU,PO DOGOVORU,

381984,STREŽBA,VIDEM PRI PTUJU,6.00 €/h neto,DLJE ČASA (ZAČ. IN OBČ. DELO),IZMENSKO,3

382009,INFORMATOR/KA,LJUBLJANA BTC,7.01 €/h neto,DLJE ČASA (ZAČ. IN OBČ. DELO),DOPOLDAN,2

382018,ZAHTEVNA ADMINISTRATIVNA DELA,LJUBLJANA - ČRNUČE,6.34 €/h neto,DLJE ČASA (ZAČ. IN OBČ. DELO),DOPOLDAN,

382020,STREŽBA,LJUBLJANA CENTER,7.50 €/h neto,DLJE ČASA (ZAČ. IN OBČ. DELO) / PO DOGOVORU,IZMENSKO,2

382026,POMOČ V KUHINJI,PREDOSLJE,7.00 €/h neto,DLJE ČASA (ZAČ. IN OBČ. DELO),PO DOGOVORU,16

382027,DELO V KUHINJI,BLED,7.00 €/h neto,DLJE ČASA (ZAČ. IN OBČ. DELO),PO DOGOVORU,8

382028,TELEFONIST,LJUBLJANA,5.28 €/h neto,DLJE ČASA (ZAČ. IN OBČ. DELO),DOPOLDAN,2

382029,KLICNI CENTER,LJUBLJANA BTC,5.28 €/h neto,DLJE ČASA (ZAČ. IN OBČ. DELO),DOPOLDAN,10

382044,ADMINISTRATIVNA DELA,LJUBLJANA - VIČ,6.40 €/h neto,DLJE ČASA (ZAČ. IN OBČ. DELO),DOPOLDAN,

382048,DELO V KUHINJI,NOVO MESTO,5.50 €/h neto,DLJE ČASA (ZAČ. IN OBČ. DELO),PO DOGOVORU,3

382050,ZAHTEVNA ADMINISTRATIVNA DELA,LJUBLJANA,8.00 €/h neto,DLJE ČASA (ZAČ. IN OBČ. DELO),DOPOLDAN,

382053,POMOČ PRI PRODAJI,LJUBLJANA - RUDNIK,5.92 €/h neto,DLJE ČASA (ZAČ. IN OBČ. DELO),POPOLDAN,

382064,POMOČ V STREŽBI,LJUBLJANA,6.00 €/h neto,DLJE ČASA (ZAČ. IN OBČ. DELO),IZMENSKO,

